epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.948,1.56798,3.61517,1.36821,0.52179,0.18446,0.35808,0.21506,1.56236,5.51208,1.1879,0.000471753,0.000471753,0.000471753
2,224.298,1.51742,2.57331,1.31985,0.77986,0.42778,0.4667,0.28799,1.56961,5.25729,1.1985,0.0009168,0.0009168,0.0009168
3,331.563,1.36236,2.32281,1.23525,0.89373,0.56063,0.58257,0.3527,1.656,4.15497,1.29911,0.00133041,0.00133041,0.00133041
4,487.071,1.37562,2.19442,1.27484,0.38892,0.60195,0.46949,0.27184,1.67834,5.12704,1.37791,0.00128753,0.00128753,0.00128753
5,681.81,1.37994,2.11021,1.28122,0.89211,0.54514,0.57503,0.37497,1.54339,3.95014,1.33636,0.00124037,0.00124037,0.00124037
6,871.88,1.32808,1.91322,1.25091,0.87574,0.56619,0.59914,0.44217,1.27014,3.39881,1.14607,0.00119322,0.00119322,0.00119322
7,1026.15,1.27573,1.77417,1.21586,0.8374,0.54988,0.56094,0.39699,1.32934,2.97076,1.15101,0.00114606,0.00114606,0.00114606
8,1134.07,1.17069,1.54609,1.16279,0.89114,0.6144,0.61293,0.4436,1.31412,2.85458,1.16482,0.0010989,0.0010989,0.0010989
9,1236.64,1.17492,1.58565,1.2137,0.52326,0.66995,0.58478,0.42864,1.24681,2.69436,1.16897,0.00105174,0.00105174,0.00105174
10,1345.1,1.11158,1.49233,1.17906,0.89933,0.59946,0.60794,0.46508,1.1951,2.42998,1.18595,0.00100459,0.00100459,0.00100459
11,1452.87,1.02041,1.46543,1.10299,0.93006,0.59646,0.60808,0.45908,1.13671,2.33497,1.12145,0.00095743,0.00095743,0.00095743
12,1555.81,1.01893,1.34898,1.11762,0.93566,0.60506,0.61998,0.4674,1.10464,2.14259,1.07663,0.000910273,0.000910273,0.000910273
13,1659.62,1.07738,1.35681,1.13119,0.90061,0.63085,0.62584,0.51448,1.06055,2.03755,1.05406,0.000863116,0.000863116,0.000863116
14,1757.99,1.00107,1.29901,1.09918,0.94293,0.58405,0.62655,0.50638,1.06747,1.97715,1.02288,0.000815959,0.000815959,0.000815959
15,1860.46,0.99516,1.23174,1.09911,0.90142,0.60364,0.63881,0.49587,1.03069,1.93515,1.0257,0.000768802,0.000768802,0.000768802
16,1960.59,0.93713,1.17592,1.06001,0.93076,0.61151,0.64898,0.52682,1.02401,2.02168,1.03135,0.000721645,0.000721645,0.000721645
17,2065.61,0.94166,1.18479,1.09,0.92725,0.6171,0.63482,0.5441,1.01924,1.86973,1.0527,0.000674488,0.000674488,0.000674488
